iter	Passed	Remaining
929	338596	389567
930	338949	389191
931	339317	388832
932	339684	388470
933	340068	388129
934	340458	387794
935	340834	387444
936	341201	387083
937	341576	386731
938	341953	386381
939	342318	386019
940	342675	385646
941	343039	385282
942	343433	384951
943	343812	384603
944	344295	384372
945	344702	384054
946	345076	383701
947	345471	383371
948	345833	383004
949	346198	382640
950	346574	382288
951	346960	381948
952	347336	381596
953	347722	381255
954	348188	381001
955	348558	380643
956	348920	380276
957	349291	379918
958	349655	379553
959	349997	379163
960	350350	378786
961	350723	378431
962	351110	378091
963	351490	377743
964	351852	377375
965	352228	377023
966	352610	376677
967	353002	376341
968	353377	375988
969	353734	375614
970	354083	375233
971	354447	374867
972	354814	374506
973	355180	374143
974	355573	373807
975	355975	373482
976	356337	373114
977	356690	372738
978	357074	372393
979	357454	372044
980	357835	371696
981	358234	371367
982	358623	371027
983	358995	370670
984	359457	370405
985	359851	370070
986	360237	369727
987	360628	369389
988	361000	369030
989	361370	368670
990	361759	368329
991	362134	367975
992	362528	367639
993	362920	367301
994	363292	366943
995	363661	366582
996	364033	366224
997	364521	365982
998	364918	365649
999	365307	365307
1000	365705	364974
1001	366138	364677
1002	366535	364342
1003	366950	364026
1004	367342	363687
1005	367759	363372
1006	368154	363036
1007	368594	362743
1008	369024	362441
1009	369391	362076
1010	369759	361712
1011	370159	361380
1012	370521	361011
1013	370895	360654
1014	371261	360288
1015	371617	359912
1016	371964	359529
1017	372323	359156
1018	372702	358803
1019	373091	358460
1020	373482	358118
1021	373904	357806
1022	374306	357475
1023	374782	357214
1024	375192	356890
1025	375588	356552
1026	375966	356198
1027	376351	355850
1028	376743	355507
1029	377123	355155
1030	377504	354803
1031	377871	354437
1032	378264	354096
1033	378684	353781
1034	379056	353419
1035	379428	353058
1036	379799	352697
1037	380155	352321
1038	380498	351933
1039	380846	351550
1040	381202	351175
1041	381625	350861
1042	382033	350533
1043	382409	350176
1044	382795	349827
1045	383167	349466
1046	383522	349089
1047	383889	348723
1048	384275	348375
1049	384660	348026
1050	385048	347679
1051	385236	347152
1052	385672	346848
1053	386187	346616
1054	386633	346320
1055	387021	345973
1056	387424	345639
1057	387977	345439
1058	388379	345103
1059	388805	344790
1060	389270	344509
1061	389720	344216
1062	390125	343882
1063	390528	343547
1064	391025	343294
1065	391415	342947
1066	391787	342584
1067	392154	342216
1068	392531	341858
1069	392923	341512
1070	393314	341166
1071	393721	340833
1072	394094	340470
1073	394474	340114
1074	394860	339764
1075	395303	339461
1076	395706	339124
1077	396095	338775
1078	396479	338421
1079	396883	338086
1080	397254	337721
1081	397642	337371
1082	398025	337016
1083	398393	336649
1084	398760	336281
1085	399139	335923
1086	399516	335564
1087	399891	335203
1088	400371	334929
1089	400748	334570
1090	401139	334221
1091	401514	333859
1092	401880	333490
1093	402278	333148
1094	402678	332807
1095	403068	332457
1096	403470	332117
1097	403868	331775
1098	404242	331412
1099	404600	331036
1100	404975	330674
1101	405353	330315
1102	405828	330034
1103	406193	329664
1104	406626	329349
1105	407005	328989
1106	407381	328628
1107	407763	328271
1108	408136	327907
1109	408514	327547
1110	408901	327195
1111	409315	326863
1112	409710	326516
1113	410107	326171
1114	410498	325821
1115	410983	325545
1116	411358	325183
1117	411741	324826
1118	412104	324454
1119	412468	324082
1120	412855	323728
1121	413228	323364
1122	413625	323018
1123	414018	322668
1124	414392	322305
1125	414769	321943
1126	415141	321577
1127	415613	321290
1128	415985	320924
1129	416364	320563
1130	416760	320216
1131	417157	319870
1132	417558	319526
1133	417955	319179
1134	418329	318814
1135	418699	318447
1136	419072	318082
1137	419532	317783
1138	419918	317427
1139	420306	317073
1140	420686	316713
1141	421079	316362
1142	421463	316005
1143	421842	315644
1144	422217	315280
1145	422576	314904
1146	422936	314528
1147	423302	314158
1148	423745	313844
1149	424145	313498
1150	424532	313143
1151	424994	312842
1152	425511	312583
1153	425950	312265
1154	426368	311932
1155	426799	311607
1156	427198	311260
1157	427749	311023
1158	428338	310813
1159	428862	310555
1160	429272	310214
1161	429667	309863
1162	430071	309518
1163	430451	309156
1164	430817	308783
1165	431183	308410
1166	431539	308031
1167	431893	307649
1168	432249	307270
1169	432623	306903
1170	433002	306540
1171	433382	306177
1172	433784	305831
1173	434177	305477
1174	434544	305105
1175	434916	304737
1176	435298	304376
1177	435665	304004
1178	436149	303713
1179	436521	303345
1180	436898	302980
1181	437293	302627
1182	437677	302267
1183	438057	301904
1184	438429	301536
1185	438787	301157
1186	439165	300792
1187	439549	300432
1188	439926	300067
1189	440299	299699
1190	440673	299332
1191	441065	298977
1192	441460	298623
1193	441956	298339
1194	442339	297977
1195	442723	297616
1196	443104	297253
1197	443474	296883
1198	443852	296518
1199	444226	296150
1200	444604	295786
1201	445000	295433
1202	445376	295066
1203	445740	294692
1204	446151	294348
1205	446547	293995
1206	446975	293663
1207	447341	293290
1208	447840	293003
1209	448219	292639
1210	448605	292278
1211	448998	291923
1212	449366	291550
1213	449745	291185
1214	450116	290816
1215	450506	290458
1216	450886	290093
1217	451265	289728
1218	451649	289366
1219	452036	289007
1220	452414	288640
1221	452809	288286
1222	453174	287912
1223	453553	287546
1224	454025	287240
1225	454407	286876
1226	454790	286514
1227	455270	286212
1228	455804	285943
1229	456307	285655
1230	456708	285303
1231	457077	284931
1232	457451	284562
1233	457800	284177
1234	458165	283802
1235	458527	283426
1236	458898	283055
1237	459248	282671
1238	459642	282314
1239	460041	281961
1240	460520	281655
1241	460917	281300
1242	461295	280933
1243	461658	280557
1244	462058	280204
1245	462447	279843
1246	462828	279478
1247	463215	279117
1248	463593	278749
1249	463977	278386
1250	464464	278084
1251	464839	277715
1252	465228	277354
1253	465584	276974
1254	465964	276608
1255	466350	276245
1256	466742	275886
1257	467117	275517
1258	467506	275156
1259	467882	274788
1260	468254	274416
1261	468733	274108
1262	469119	273745
1263	469511	273386
1264	469893	273021
1265	470272	272654
1266	470643	272282
1267	471018	271913
1268	471403	271549
1269	471790	271186
1270	472167	270818
1271	472543	270449
1272	473019	270137
1273	473593	269881
1274	474021	269541
1275	474406	269177
1276	474813	268825
1277	475198	268461
1278	475546	268076
1279	475909	267699
1280	476269	267320
1281	476631	266943
1282	476993	266565
1283	477362	266192
1284	477734	265820
1285	478084	265437
1286	478456	265065
1287	478820	264689
1288	479187	264315
1289	479562	263945
1290	479918	263564
1291	480273	263183
1292	480640	262809
1293	481102	262486
1294	481466	262110
1295	481831	261735
1296	482224	261375
1297	482607	261009
1298	483026	260663
1299	483445	260316
1300	483544	259798
1301	483972	259456
1302	484357	259092
1303	484761	258737
1304	485145	258372
1305	485518	258001
1306	485916	257643
1307	486308	257282
